313,move_pages,syscall_move_pages, 
314,getcpu,syscall_getcpu, 
315,epoll_pwait,syscall_epoll_pwait, 
316,utimensat,syscall_utimensat, 
317,signalfd,syscall_signalfd, 
318,timerfd_create,syscall_timerfd_create, 
319,eventfd,syscall_eventfd, 
320,fallocate,syscall_fallocate, 
321,timerfd_settime,syscall_timerfd_settime, 
322,timerfd_gettime,syscall_timerfd_gettime, 
323,signalfd4,syscall_signalfd4, 
324,eventfd2,syscall_eventfd2, 
325,epoll_create1,syscall_epoll_create1, 
326,dup3,syscall_dup3, 
327,pipe2,syscall_pipe2, 
328,inotify_init1,syscall_inotify_init1, 
329,preadv,syscall_preadv, 
330,pwritev,syscall_pwritev, 
331,rt_tgsigqueueinfo,syscall_rt_tgsigqueueinfo, 
332,perf_event_open,syscall_perf_event_open, 
333,recvmmsg,syscall_recvmmsg, 
334,fanotify_init,syscall_fanotify_init, 
335,fanotify_mark,syscall_fanotify_mark, 
336,prlimit64,syscall_prlimit64, 
337,name_to_handle_at,syscall_name_to_handle_at, 
338,open_by_handle_at,syscall_open_by_handle_at, 
339,clock_adjtime,syscall_clock_adjtime, 
340,syncfs,syscall_syncfs, 
341,sendmmsg,syscall_sendmmsg, 
342,setns,syscall_setns, 
343,process_vm_readv,syscall_process_vm_readv, 
344,process_vm_writev,syscall_process_vm_writev, 
345,kcmp,syscall_kcmp, 
346,finit_module,syscall_finit_module, 
347,sched_setattr,syscall_sched_setattr, 
348,sched_getattr,syscall_sched_getattr, 
349,renameat2,syscall_renameat2, 
350,seccomp,syscall_seccomp, 
351,getrandom,syscall_getrandom, 
352,memfd_create,syscall_memfd_create, 
353,bpf,syscall_bpf, 
354,execveat,syscall_execveat, 
355,socket,syscall_socket, 
356,socketpair,syscall_socketpair, 
357,bind,syscall_bind, 
358,connect,syscall_connect, 
359,listen,syscall_listen, 
360,accept4,syscall_accept4, 
361,getsockopt,syscall_getsockopt, 
362,setsockopt,syscall_setsockopt, 
363,getsockname,syscall_getsockname, 
364,getpeername,syscall_getpeername, 
365,sendto,syscall_sendto, 
366,sendmsg,syscall_sendmsg, 
367,recvfrom,syscall_recvfrom, 
368,recvmsg,syscall_recvmsg, 
369,shutdown,syscall_shutdown, 
370,userfaultfd,syscall_userfaultfd, 
371,membarrier,syscall_membarrier, 
372,mlock2,syscall_mlock2, 
373,copy_file_range,syscall_copy_file_range, 
374,preadv2,syscall_preadv2, 
375,pwritev2,syscall_pwritev2, 
376,pkey_mprotect,syscall_pkey_mprotect, 
377,pkey_alloc,syscall_pkey_alloc, 
378,pkey_free,syscall_pkey_free, 
379,statx,syscall_statx, 
380,arch_prctl,syscall_arch_prctl, 
381,io_pgetevents,syscall_io_pgetevents, 
382,rseq,syscall_rseq, 
383,semget,syscall_semget, 
384,semctl,syscall_semctl, 
385,shmget,syscall_shmget, 
386,shmctl,syscall_shmctl, 
387,shmat,syscall_shmat, 
388,shmdt,syscall_shmdt, 
389,msgget,syscall_msgget, 
390,msgsnd,syscall_msgsnd, 
391,msgrcv,syscall_msgrcv, 
392,msgctl,syscall_msgctl, 
393,clock_gettime64,syscall_clock_gettime64, 
394,clock_settime64,syscall_clock_settime64, 
395,clock_adjtime64,syscall_clock_adjtime64, 
396,clock_getres_time64,syscall_clock_getres_time64, 
397,clock_nanosleep_time64,syscall_clock_nanosleep_time64, 
398,timer_gettime64,syscall_timer_gettime64, 
399,timer_settime64,syscall_timer_settime64, 
400,timerfd_gettime64,syscall_timerfd_gettime64, 
401,timerfd_settime64,syscall_timerfd_settime64, 
402,utimensat_time64,syscall_utimensat_time64, 
403,pselect6_time64,syscall_pselect6_time64, 
404,ppoll_time64,syscall_ppoll_time64, 
405,io_pgetevents_time64,syscall_io_pgetevents_time64, 
406,recvmmsg_time64,syscall_recvmmsg_time64, 
407,mq_timedsend_time64,syscall_mq_timedsend_time64, 
408,mq_timedreceive_time64,syscall_mq_timedreceive_time64, 
409,semtimedop_time64,syscall_semtimedop_time64, 
410,rt_sigtimedwait_time64,syscall_rt_sigtimedwait_time64, 
411,futex_time64,syscall_futex_time64, 
412,sched_rr_get_interval_time64,syscall_sched_rr_get_interval_time64, 
413,pidfd_send_signal,syscall_pidfd_send_signal, 
414,io_uring_setup,syscall_io_uring_setup, 
415,io_uring_enter,syscall_io_uring_enter, 
416,io_uring_register,syscall_io_uring_register, 
417,open_tree,syscall_open_tree, 
418,move_mount,syscall_move_mount, 
419,fsopen,syscall_fsopen, 
420,fsconfig,syscall_fsconfig, 
421,fsmount,syscall_fsmount, 
422,fspick,syscall_fspick, 
423,pidfd_open,syscall_pidfd_open, 
424,clone3,syscall_clone3, 
425,openat2,syscall_openat2, 
426,pidfd_getfd,syscall_pidfd_getfd, 
427,faccessat2,syscall_faccessat2, 
